,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000,Petrol
1,sx4,2013,7089,Diesel
2,ciaz,2017,10820,Petrol
3,wagon r,2011,4253,Petrol
4,swift,2014,6865,Diesel
5,vitara brezza,2018,13805,Diesel
6,ciaz,2015,10074,Petrol
7,s cross,2015,9701,Diesel
8,ciaz,2016,13059,Diesel
9,ciaz,2015,11119,Diesel
10,alto 800,2017,4253,Petrol
11,ciaz,2015,10223,Diesel
12,ciaz,2015,11194,Petrol
13,ertiga,2015,9104,Petrol
14,dzire,2009,3358,Petrol
15,ertiga,2016,11567,Diesel
16,ertiga,2015,10820,Diesel
17,ertiga,2016,11567,Diesel
18,wagon r,2015,4850,CNG
19,sx4,2010,3955,Petrol
20,alto k10,2016,4253,Petrol
21,ignis,2017,7313,Petrol
22,sx4,2011,6567,Petrol
23,alto k10,2014,3731,Petrol
24,wagon r,2013,4328,Petrol
25,swift,2011,4477,Petrol
26,swift,2013,6194,Petrol
27,swift,2017,8955,Petrol
28,alto k10,2010,2910,Petrol
29,ciaz,2015,11119,Diesel
30,ritz,2012,4626,Diesel
31,ritz,2011,3507,Petrol
32,swift,2014,7388,Diesel
33,ertiga,2014,8955,Diesel
34,dzire,2014,8208,Diesel
35,sx4,2011,4402,CNG
36,dzire,2015,6940,Petrol
37,800,2003,522,Petrol
38,alto k10,2016,4477,Petrol
39,sx4,2003,3358,Petrol
40,baleno,2016,8731,Petrol
41,alto k10,2014,3805,Petrol
42,sx4,2008,2910,Petrol
43,dzire,2014,8208,Diesel
44,omni,2012,1865,Petrol
45,ciaz,2014,11194,Petrol
46,ritz,2013,3955,Petrol
47,wagon r,2006,1567,Petrol
48,ertiga,2015,8656,Petrol
49,ciaz,2017,11567,Petrol
50,fortuner,2012,22238,Diesel
51,fortuner,2015,34328,Diesel
52,innova,2017,26865,Diesel
53,fortuner,2013,23880,Diesel
54,innova,2005,4104,Petrol
55,corolla altis,2009,5373,Petrol
56,etios cross,2015,6716,Petrol
57,corolla altis,2010,7089,Petrol
58,etios g,2014,6119,Petrol
59,fortuner,2014,29835,Diesel
